Cooperate Rate,Average Reward
0.495,1.98
0.495,1.9799999999999998
0.495,1.9799999999999967
0.495,1.9799999999999986
0.495,1.9800000000000018
0.5,1.980000000000001
0.495,1.9999999999999987
0.5,1.9799999999999998
0.5,2.0000000000000036
0.5,2.0000000000000013
0.5,1.9999999999999998
0.495,2.0000000000000027
0.5,1.9799999999999982
0.5,2.0000000000000027
0.505,2.0000000000000004
0.505,2.020000000000002
0.51,2.020000000000001
0.51,2.0399999999999987
0.505,2.040000000000001
0.5,2.02
0.505,2.0
0.505,2.0199999999999987
0.51,2.0199999999999987
0.51,2.039999999999998
0.51,2.0399999999999956
0.515,2.039999999999998
0.52,2.060000000000005
0.515,2.0799999999999996
0.515,2.0600000000000005
0.52,2.0599999999999965
0.52,2.08
0.52,2.080000000000005
0.52,2.079999999999998
0.525,2.0799999999999974
0.53,2.1000000000000005
0.525,2.119999999999998
0.53,2.100000000000001
0.53,2.1200000000000014
0.535,2.12
0.535,2.1400000000000006
0.535,2.1400000000000006
0.54,2.140000000000002
0.54,2.16
0.54,2.1599999999999997
0.54,2.160000000000002
0.54,2.160000000000002
0.54,2.159999999999999
0.545,2.1600000000000072
0.54,2.179999999999998
0.535,2.160000000000001
0.535,2.140000000000004
0.535,2.1400000000000037
0.535,2.140000000000003
0.535,2.1399999999999966
0.535,2.139999999999995
0.535,2.139999999999999
0.54,2.1400000000000023
0.54,2.160000000000001
0.54,2.1600000000000024
0.54,2.1600000000000024
0.54,2.160000000000001
0.545,2.160000000000002
0.55,2.1800000000000015
0.55,2.2
0.55,2.2000000000000024
0.55,2.1999999999999984
0.55,2.1999999999999997
0.55,2.200000000000001
0.55,2.200000000000004
0.55,2.199999999999997
0.55,2.1999999999999984
0.55,2.1999999999999997
0.55,2.1999999999999984
0.555,2.1999999999999997
0.55,2.2199999999999993
0.55,2.1999999999999993
0.55,2.2000000000000015
0.555,2.2
0.555,2.2199999999999993
0.55,2.2200000000000015
0.55,2.2000000000000024
0.55,2.1999999999999975
0.545,2.199999999999999
0.545,2.1799999999999984
0.545,2.1800000000000033
0.545,2.1800000000000006
0.545,2.1799999999999975
0.55,2.18
0.55,2.1999999999999993
0.555,2.1999999999999984
0.56,2.2199999999999984
0.565,2.24
0.565,2.2600000000000064
0.565,2.26
0.57,2.2600000000000007
0.565,2.2799999999999994
0.565,2.26
0.565,2.259999999999999
0.56,2.2600000000000016
0.565,2.2399999999999967
0.565,2.26
0.57,2.260000000000003
0.57,2.2799999999999985
0.57,2.2799999999999994
0.57,2.2800000000000007
0.575,2.28
0.575,2.3000000000000007
