Cooperate Rate,Average Reward
0.51,2.0399999999999987
0.505,2.039999999999997
0.5,2.0200000000000005
0.5,1.9999999999999993
0.5,1.999999999999997
0.495,2.0000000000000018
0.5,1.98
0.495,1.999999999999999
0.49,1.9800000000000026
0.49,1.9600000000000009
0.485,1.959999999999999
0.485,1.939999999999998
0.485,1.9399999999999984
0.49,1.9400000000000017
0.485,1.9600000000000015
0.48,1.9400000000000017
0.485,1.9200000000000024
0.485,1.9399999999999997
0.49,1.9400000000000004
0.485,1.9600000000000006
0.48,1.9399999999999968
0.485,1.9200000000000006
0.49,1.940000000000001
0.495,1.96
0.495,1.9800000000000046
0.49,1.98
0.49,1.9599999999999975
0.485,1.9600000000000015
0.48,1.9400000000000004
0.48,1.9199999999999988
0.475,1.9199999999999997
0.475,1.9
0.47,1.8999999999999975
0.47,1.8800000000000006
0.465,1.8799999999999997
0.465,1.8600000000000003
0.465,1.8599999999999997
0.46,1.8599999999999992
0.46,1.8399999999999994
0.46,1.8399999999999985
0.46,1.8400000000000014
0.46,1.8399999999999996
0.455,1.8400000000000045
0.455,1.8199999999999994
0.45,1.8200000000000014
0.45,1.8000000000000003
0.445,1.7999999999999985
0.44,1.7800000000000011
0.44,1.7599999999999998
0.44,1.759999999999999
0.435,1.7599999999999947
0.435,1.74
0.43,1.739999999999996
0.43,1.72
0.43,1.719999999999999
0.43,1.720000000000001
0.43,1.7199999999999958
0.43,1.7199999999999995
0.43,1.7199999999999998
0.435,1.7199999999999975
0.435,1.7400000000000009
0.44,1.7399999999999993
0.44,1.7599999999999993
0.435,1.7600000000000031
0.435,1.7400000000000002
0.43,1.7399999999999962
0.43,1.7199999999999989
0.435,1.7200000000000009
0.43,1.7400000000000007
0.435,1.7200000000000022
0.435,1.7399999999999978
0.435,1.739999999999999
0.435,1.739999999999999
0.43,1.7399999999999998
0.43,1.7200000000000006
0.425,1.7199999999999998
0.425,1.6999999999999995
0.425,1.699999999999999
0.42,1.699999999999997
0.42,1.6800000000000004
0.42,1.6799999999999966
0.425,1.679999999999999
0.425,1.699999999999998
0.425,1.7000000000000026
0.42,1.6999999999999995
0.415,1.6799999999999986
0.41,1.6600000000000008
0.41,1.6400000000000006
0.41,1.6399999999999972
0.405,1.6400000000000023
0.4,1.6199999999999974
0.4,1.5999999999999972
0.4,1.5999999999999983
0.395,1.5999999999999956
0.395,1.580000000000001
0.395,1.580000000000001
0.395,1.580000000000004
0.4,1.5800000000000032
0.4,1.5999999999999992
0.395,1.6
0.395,1.579999999999997
0.395,1.5800000000000025
0.395,1.5799999999999994
0.395,1.5800000000000003
0.39,1.5800000000000003
0.39,1.5600000000000003
0.39,1.559999999999998
0.385,1.5599999999999983
0.38,1.539999999999998
0.38,1.5200000000000014
0.38,1.5200000000000022
0.38,1.519999999999998
0.38,1.5199999999999971
0.38,1.520000000000002
0.385,1.5200000000000011
0.39,1.5400000000000003
0.385,1.5599999999999963
0.38,1.540000000000001
0.385,1.5199999999999982
0.38,1.539999999999997
0.38,1.5200000000000005
0.38,1.5200000000000025
0.375,1.52
0.37,1.4999999999999982
0.365,1.4799999999999995
0.365,1.4599999999999989
0.365,1.4599999999999997
0.365,1.4599999999999955
0.365,1.4600000000000002
0.365,1.4599999999999995
0.36,1.46
0.355,1.439999999999998
0.355,1.4199999999999986
0.355,1.4200000000000026
0.35,1.4199999999999995
0.345,1.3999999999999995
0.345,1.3799999999999992
0.345,1.3799999999999977
0.345,1.3799999999999975
0.345,1.3799999999999966
0.345,1.3800000000000017
0.34,1.3799999999999983
0.335,1.3599999999999992
0.335,1.3399999999999983
0.33,1.34
0.33,1.3200000000000003
0.33,1.3199999999999994
0.33,1.3199999999999985
0.33,1.3199999999999994
0.325,1.3200000000000005
0.325,1.2999999999999978
0.32,1.3000000000000003
0.32,1.279999999999998
0.32,1.2799999999999998
0.315,1.2799999999999985
0.31,1.2600000000000007
0.31,1.2400000000000004
0.305,1.2400000000000007
0.305,1.22
0.305,1.219999999999999
0.305,1.2199999999999998
0.305,1.2199999999999998
0.305,1.2199999999999998
0.3,1.2199999999999989
0.305,1.199999999999999
0.3,1.2199999999999986
0.295,1.2
0.295,1.1800000000000004
0.295,1.1799999999999975
0.295,1.1799999999999993
0.295,1.1799999999999995
0.295,1.1800000000000006
0.295,1.1799999999999988
0.295,1.179999999999999
0.29,1.1799999999999988
0.285,1.1599999999999993
0.285,1.1399999999999986
0.285,1.1399999999999992
0.285,1.1399999999999981
0.285,1.1399999999999983
0.28,1.1400000000000012
0.285,1.119999999999999
0.285,1.1399999999999983
0.285,1.1399999999999986
0.285,1.1400000000000017
0.285,1.1399999999999995
0.285,1.1400000000000001
0.285,1.1400000000000003
0.285,1.139999999999997
0.29,1.1399999999999992
0.29,1.1599999999999973
0.285,1.1599999999999988
0.28,1.1400000000000017
0.275,1.119999999999999
0.275,1.099999999999999
0.275,1.0999999999999996
0.275,1.0999999999999979
0.27,1.0999999999999988
0.27,1.08
0.265,1.079999999999998
0.265,1.0599999999999994
0.26,1.060000000000001
0.26,1.0400000000000016
0.26,1.0400000000000005
0.255,1.0399999999999983
0.255,1.0199999999999998
0.255,1.02
0.255,1.0199999999999996
0.255,1.0199999999999987
0.255,1.0199999999999978
0.26,1.0199999999999998
0.26,1.040000000000001
0.26,1.0400000000000005
0.26,1.0399999999999978
0.26,1.0399999999999983
0.255,1.0400000000000011
0.25,1.019999999999999
0.245,0.9999999999999994
0.245,0.9799999999999995
0.245,0.9799999999999998
0.245,0.9799999999999994
0.245,0.9800000000000014
0.245,0.98
0.245,0.9799999999999993
0.245,0.979999999999998
0.24,0.9800000000000004
0.24,0.9599999999999992
0.24,0.9600000000000009
0.24,0.960000000000001
0.24,0.9600000000000003
0.24,0.9600000000000003
0.24,0.9599999999999992
0.24,0.9600000000000003
0.24,0.9600000000000005
0.24,0.9599999999999989
0.235,0.9599999999999999
0.235,0.9399999999999983
0.235,0.9399999999999996
0.235,0.9399999999999991
0.235,0.9399999999999997
0.235,0.9400000000000002
0.235,0.9400000000000006
0.235,0.9400000000000016
0.235,0.9400000000000002
0.235,0.9400000000000003
0.235,0.9399999999999996
0.235,0.9399999999999994
0.23,0.9400000000000017
0.225,0.9199999999999983
0.22,0.8999999999999995
0.22,0.8799999999999987
0.22,0.88
0.215,0.879999999999998
0.215,0.8599999999999994
0.215,0.8600000000000001
0.215,0.8599999999999998
0.215,0.8599999999999994
0.215,0.859999999999999
0.21,0.8599999999999984
0.21,0.8399999999999994
0.21,0.84
0.21,0.8399999999999997
0.21,0.8400000000000013
0.205,0.8399999999999993
0.21,0.8200000000000002
0.21,0.8400000000000007
0.21,0.8399999999999992
0.21,0.8400000000000007
0.21,0.840000000000001
0.21,0.8400000000000007
0.21,0.8400000000000012
0.21,0.8399999999999985
0.215,0.84
0.21,0.8599999999999999
0.205,0.8400000000000009
0.205,0.8200000000000007
0.205,0.819999999999999
0.205,0.8200000000000006
0.205,0.8200000000000022
0.2,0.8200000000000014
0.2,0.8000000000000013
0.2,0.7999999999999993
0.195,0.8000000000000012
0.195,0.78
0.19,0.7799999999999995
0.19,0.7600000000000002
0.185,0.7600000000000007
0.18,0.7400000000000009
0.18,0.7200000000000017
0.18,0.7200000000000013
0.18,0.72
0.18,0.7200000000000015
0.18,0.7200000000000003
0.18,0.7200000000000014
0.185,0.7200000000000011
0.185,0.7400000000000014
0.185,0.7399999999999998
0.185,0.7400000000000017
0.185,0.7400000000000019
0.185,0.7400000000000007
0.185,0.7400000000000003
0.185,0.7400000000000003
0.185,0.7400000000000015
0.185,0.7400000000000001
0.185,0.7400000000000015
0.185,0.74
0.185,0.7400000000000015
0.185,0.7400000000000007
0.185,0.7400000000000011
0.18,0.7400000000000011
0.18,0.7200000000000004
0.18,0.7200000000000003
0.175,0.72
0.175,0.7000000000000013
0.175,0.6999999999999993
0.175,0.7000000000000014
0.175,0.7000000000000006
0.175,0.7000000000000017
0.175,0.6999999999999997
0.175,0.700000000000001
0.175,0.7000000000000017
0.175,0.7000000000000008
0.175,0.7000000000000012
0.175,0.7000000000000006
0.175,0.7000000000000003
0.175,0.7
0.175,0.7000000000000015
0.175,0.7000000000000018
0.175,0.700000000000001
0.18,0.700000000000001
0.18,0.7199999999999999
0.18,0.7200000000000009
0.18,0.7200000000000005
0.18,0.7200000000000005
0.18,0.7200000000000015
0.18,0.7200000000000009
0.18,0.7200000000000011
0.18,0.7200000000000014
0.175,0.7200000000000017
0.175,0.7000000000000012
0.175,0.7000000000000006
0.17,0.700000000000001
0.17,0.6800000000000014
0.17,0.6800000000000014
0.165,0.6800000000000013
0.16,0.6600000000000017
0.16,0.6400000000000016
0.155,0.6400000000000015
0.15,0.6200000000000013
0.15,0.6000000000000015
0.15,0.6000000000000011
0.15,0.6000000000000016
0.15,0.6000000000000012
0.15,0.6000000000000013
0.15,0.6000000000000014
0.145,0.6000000000000011
0.14,0.5800000000000014
0.14,0.5600000000000009
0.14,0.5600000000000014
0.14,0.5600000000000015
0.14,0.5600000000000013
0.14,0.5600000000000016
0.14,0.560000000000001
0.14,0.5600000000000014
0.135,0.5600000000000012
