Cooperate Rate,Average Reward
0.56,2.239999999999998
0.48,2.2400000000000007
0.48,1.9199999999999988
0.54,1.9199999999999995
0.52,2.160000000000001
0.5,2.0799999999999987
0.46,2.0000000000000004
0.48,1.8399999999999994
0.56,1.920000000000001
0.48,2.24
0.4,1.9200000000000017
0.46,1.6
0.36,1.8399999999999992
0.5,1.4399999999999995
0.48,1.9999999999999998
0.42,1.9200000000000024
0.44,1.6800000000000006
0.4,1.7599999999999993
0.46,1.5999999999999994
0.52,1.8400000000000005
0.6,2.0800000000000027
0.58,2.4
0.54,2.3199999999999976
0.44,2.1599999999999993
0.6,1.7600000000000007
0.58,2.399999999999999
0.5,2.319999999999999
0.44,1.9999999999999998
0.48,1.76
0.3,1.9199999999999986
0.54,1.1999999999999995
0.58,2.1599999999999997
0.56,2.3200000000000003
0.6,2.2400000000000007
0.48,2.4
0.5,1.92
0.54,1.9999999999999998
0.52,2.1599999999999997
0.58,2.079999999999999
0.52,2.3200000000000007
0.58,2.080000000000001
0.5,2.3199999999999985
0.44,2.0
0.52,1.760000000000001
0.46,2.08
0.42,1.84
0.56,1.68
0.46,2.240000000000002
0.62,1.839999999999999
0.46,2.4800000000000004
0.6,1.8400000000000005
0.54,2.399999999999998
0.5,2.160000000000001
0.48,2.0000000000000004
0.54,1.9199999999999997
0.6,2.160000000000002
0.52,2.3999999999999972
0.52,2.0799999999999987
0.54,2.080000000000001
0.42,2.1599999999999993
0.4,1.68
0.48,1.6
0.5,1.9199999999999986
0.42,1.9999999999999991
0.5,1.6800000000000006
0.4,1.9999999999999993
0.54,1.5999999999999994
0.58,2.1599999999999984
0.4,2.32
0.66,1.6000000000000003
0.46,2.6399999999999992
0.5,1.8399999999999992
0.42,1.9999999999999991
0.54,1.68
0.58,2.1599999999999993
0.46,2.3199999999999976
0.4,1.8400000000000014
0.64,1.6000000000000012
0.36,2.5599999999999987
0.46,1.4400000000000004
0.56,1.84
0.44,2.2399999999999993
0.54,1.76
0.66,2.1599999999999997
0.54,2.64
0.42,2.16
0.54,1.6799999999999997
0.52,2.1600000000000006
0.54,2.079999999999998
0.52,2.1599999999999993
0.42,2.080000000000002
0.52,1.679999999999999
0.48,2.0800000000000023
0.48,1.92
0.48,1.9200000000000004
0.5,1.9199999999999995
0.34,1.999999999999999
0.56,1.36
0.38,2.2399999999999998
0.52,1.520000000000001
0.48,2.0799999999999987
0.38,1.9199999999999984
0.42,1.5199999999999994
0.44,1.6800000000000017
0.52,1.7600000000000011
0.4,2.08
0.52,1.6000000000000008
0.44,2.0799999999999987
0.56,1.760000000000001
0.42,2.239999999999999
0.48,1.6800000000000017
0.54,1.9200000000000008
0.5,2.159999999999998
0.54,1.9999999999999982
0.42,2.159999999999999
0.48,1.6800000000000006
0.54,1.9200000000000006
0.5,2.1599999999999984
0.38,1.999999999999999
0.54,1.5199999999999991
0.5,2.16
0.52,1.9999999999999998
0.48,2.080000000000001
0.52,1.9200000000000017
0.46,2.079999999999998
0.4,1.8400000000000005
0.6,1.6000000000000008
0.54,2.4
0.52,2.1599999999999997
0.52,2.0800000000000005
0.54,2.0799999999999974
0.62,2.1599999999999984
0.46,2.4799999999999986
0.4,1.8400000000000016
0.42,1.6000000000000005
0.56,1.680000000000001
0.52,2.2399999999999984
0.46,2.079999999999999
0.56,1.8400000000000005
0.48,2.2399999999999984
0.56,1.9200000000000006
0.44,2.240000000000002
0.56,1.7600000000000007
0.48,2.2399999999999975
0.48,1.9199999999999997
0.5,1.9200000000000015
0.5,2.0
0.52,1.9999999999999993
0.48,2.080000000000002
0.44,1.9200000000000017
0.56,1.7599999999999998
0.52,2.2399999999999984
0.58,2.0799999999999996
0.38,2.32
0.5,1.5200000000000005
0.44,2.0000000000000013
0.58,1.7600000000000007
0.4,2.319999999999998
0.56,1.6000000000000003
0.48,2.24
0.56,1.920000000000001
0.38,2.2400000000000007
0.5,1.52
0.5,1.9999999999999982
0.48,1.999999999999999
0.6,1.920000000000001
0.42,2.4000000000000004
0.5,1.6800000000000006
0.54,1.999999999999999
0.42,2.1600000000000024
0.36,1.68
0.36,1.44
0.54,1.4399999999999995
0.52,2.16
0.54,2.0799999999999987
0.52,2.1599999999999984
0.36,2.079999999999999
0.56,1.44
0.42,2.24
0.44,1.6800000000000015
0.64,1.7600000000000011
0.48,2.5599999999999983
0.54,1.9200000000000026
0.5,2.16
0.32,2.0000000000000004
0.48,1.28
0.5,1.9200000000000026
0.54,2.0000000000000013
0.56,2.1599999999999984
0.44,2.2399999999999993
0.44,1.7599999999999993
0.38,1.760000000000002
0.48,1.5200000000000005
0.54,1.920000000000001
0.72,2.1599999999999997
0.4,2.879999999999998
0.52,1.6000000000000003
0.48,2.0799999999999987
0.54,1.9200000000000004
0.6,2.1600000000000006
0.42,2.399999999999998
0.42,1.6800000000000008
0.4,1.6800000000000006
0.64,1.6000000000000008
0.5,2.5599999999999987
0.62,2.0000000000000004
0.46,2.4799999999999986
0.6,1.839999999999999
0.52,2.399999999999999
0.48,2.0800000000000014
0.56,1.9200000000000008
0.38,2.2399999999999993
0.48,1.520000000000001
0.56,1.9200000000000015
0.38,2.2400000000000007
0.54,1.5200000000000005
0.54,2.1599999999999993
0.6,2.160000000000001
0.64,2.399999999999999
0.54,2.5599999999999996
0.46,2.1599999999999984
0.6,1.8400000000000007
0.48,2.3999999999999977
0.48,1.9199999999999986
0.5,1.919999999999999
0.58,2.0
0.34,2.3200000000000003
0.56,1.36
0.38,2.24
0.58,1.5199999999999994
0.4,2.3200000000000003
0.6,1.6000000000000005
0.48,2.3999999999999986
0.52,1.919999999999998
0.48,2.080000000000002
0.5,1.9200000000000008
0.54,1.9999999999999993
0.5,2.1599999999999984
0.48,2.0
0.56,1.920000000000002
0.44,2.239999999999999
0.46,1.7600000000000013
0.64,1.8399999999999996
0.48,2.559999999999998
0.5,1.9200000000000024
0.54,2.000000000000001
0.42,2.1599999999999993
0.46,1.6800000000000004
0.56,1.8400000000000007
0.44,2.2399999999999993
0.54,1.7599999999999991
0.54,2.1600000000000024
0.5,2.160000000000002
0.5,2.0000000000000004
0.44,2.000000000000002
0.42,1.760000000000001
0.4,1.680000000000001
0.54,1.5999999999999996
0.48,2.1599999999999984
0.56,1.9199999999999986
0.46,2.2399999999999984
0.5,1.8400000000000012
0.5,1.9999999999999991
0.48,1.9999999999999993
0.5,1.9200000000000017
0.52,1.9999999999999991
0.46,2.0800000000000023
0.5,1.8399999999999985
0.48,2.0000000000000004
0.54,1.9200000000000028
0.42,2.16
0.44,1.6799999999999997
0.52,1.7600000000000007
0.42,2.08
0.46,1.6799999999999995
0.34,1.8399999999999985
0.62,1.3600000000000003
0.4,2.480000000000001
0.56,1.6000000000000003
0.46,2.2399999999999984
0.44,1.84
