Cooperate Rate,Average Reward
0.47,1.88
0.45,1.88
0.535,1.8
0.49,2.14
0.535,1.96
0.45,2.14
0.445,1.8
0.48,1.78
0.525,1.92
0.43,2.1
0.53,1.72
0.5,2.12
0.56,2.0
0.435,2.24
0.51,1.74
0.43,2.04
0.56,1.72
0.46,2.24
0.52,1.84
0.465,2.08
0.52,1.86
0.58,2.08
0.475,2.32
0.48,1.9
0.48,1.92
0.52,1.92
0.51,2.08
0.535,2.04
0.43,2.14
0.45,1.72
0.545,1.8
0.505,2.18
0.54,2.02
0.47,2.16
0.56,1.88
0.43,2.24
0.515,1.72
0.475,2.06
0.475,1.9
0.555,1.9
0.425,2.22
0.535,1.7
0.51,2.14
0.47,2.04
0.48,1.88
0.45,1.92
0.48,1.8
0.49,1.92
0.515,1.96
0.515,2.06
0.495,2.06
0.48,1.98
0.495,1.92
0.5,1.98
0.455,2.0
0.52,1.82
0.46,2.08
0.5,1.84
0.485,2.0
0.45,1.94
0.53,1.8
0.5,2.12
0.51,2.0
0.51,2.04
0.515,2.04
0.475,2.06
0.525,1.9
0.49,2.1
0.53,1.96
0.535,2.12
0.505,2.14
0.465,2.02
0.465,1.86
0.475,1.86
0.485,1.9
0.485,1.94
0.52,1.94
0.505,2.08
0.485,2.02
0.48,1.94
0.495,1.92
0.49,1.98
0.425,1.96
0.48,1.7
0.49,1.92
0.465,1.96
0.51,1.86
0.48,2.04
0.515,1.92
0.51,2.06
0.515,2.04
0.475,2.06
0.51,1.9
0.42,2.04
0.505,1.68
0.495,2.02
0.52,1.98
0.54,2.08
0.485,2.16
0.58,1.94
0.57,2.32
0.465,2.28
0.47,1.86
0.55,1.88
0.555,2.2
0.49,2.22
0.49,1.96
0.505,1.96
0.535,2.02
0.44,2.14
0.52,1.76
0.535,2.08
0.475,2.14
0.435,1.9
0.545,1.74
0.435,2.18
0.5,1.74
0.46,2.0
0.465,1.84
0.46,1.86
0.495,1.84
0.51,1.98
0.525,2.04
0.49,2.1
0.535,1.96
0.455,2.14
0.505,1.82
0.51,2.02
0.475,2.04
0.485,1.9
0.435,1.94
0.5,1.74
0.475,2.0
0.515,1.9
0.505,2.06
0.515,2.02
0.61,2.06
0.495,2.44
0.455,1.98
0.45,1.82
0.525,1.8
0.515,2.1
0.58,2.06
0.53,2.32
0.545,2.12
0.54,2.18
0.47,2.16
0.415,1.88
0.55,1.66
0.525,2.2
0.515,2.1
0.47,2.06
0.465,1.88
0.48,1.86
0.54,1.92
0.5,2.16
0.47,2.0
0.53,1.88
0.475,2.12
0.485,1.9
0.485,1.94
0.495,1.94
0.5,1.98
0.515,2.0
0.535,2.06
0.525,2.14
0.52,2.1
0.44,2.08
0.5,1.76
0.53,2.0
0.56,2.12
0.555,2.24
0.49,2.22
0.54,1.96
0.525,2.16
0.475,2.1
0.5,1.9
0.495,2.0
0.475,1.98
0.52,1.9
0.48,2.08
0.485,1.92
0.525,1.94
0.515,2.1
0.49,2.06
0.515,1.96
0.475,2.06
0.46,1.9
0.495,1.84
0.5,1.98
0.56,2.0
0.44,2.24
0.455,1.76
0.48,1.82
0.48,1.92
0.465,1.92
0.505,1.86
0.41,2.02
0.455,1.64
0.555,1.82
0.505,2.22
0.52,2.02
0.525,2.08
0.48,2.1
0.535,1.92
0.525,2.14
0.515,2.1
0.405,2.06
0.495,1.62
0.51,1.98
0.485,2.04
0.515,1.94
0.5,2.06
0.47,2.0
0.53,1.88
0.515,2.12
0.54,2.06
0.535,2.16
0.46,2.14
0.455,1.84
0.49,1.82
0.505,1.96
0.575,2.02
0.515,2.3
0.55,2.06
0.52,2.2
0.48,2.08
0.455,1.92
0.47,1.82
0.52,1.88
0.515,2.08
0.425,2.06
0.5,1.7
0.565,2.0
0.5,2.26
0.475,2.0
0.54,1.9
0.48,2.16
0.505,1.92
0.53,2.02
0.495,2.12
0.49,1.98
0.49,1.96
0.55,1.96
0.5,2.2
0.51,2.0
0.52,2.04
0.51,2.08
0.465,2.04
0.59,1.86
0.52,2.36
0.38,2.08
0.49,1.52
0.53,1.96
0.5,2.12
0.48,2.0
0.46,1.92
0.435,1.84
0.54,1.74
0.51,2.16
0.53,2.04
0.445,2.12
0.46,1.78
0.48,1.84
0.5,1.92
0.47,2.0
0.495,1.88
0.51,1.98
0.54,2.04
0.51,2.16
0.465,2.04
0.45,1.86
0.48,1.8
0.51,1.92
0.51,2.04
0.49,2.04
0.49,1.96
0.525,1.96
0.52,2.1
0.46,2.08
0.465,1.84
0.46,1.86
0.49,1.84
0.48,1.96
0.495,1.92
0.445,1.98
0.495,1.78
0.51,1.98
0.51,2.04
0.5,2.04
0.47,2.0
0.485,1.88
0.49,1.94
0.51,1.96
0.505,2.04
0.48,2.02
0.46,1.92
0.485,1.84
0.435,1.94
0.51,1.74
0.565,2.04
0.585,2.26
0.455,2.34
0.495,1.82
0.49,1.98
0.54,1.96
0.43,2.16
0.43,1.72
0.525,1.72
0.455,2.1
0.52,1.82
0.59,2.08
0.505,2.36
0.465,2.02
0.53,1.86
0.485,2.12
0.515,1.94
0.545,2.06
0.495,2.18
0.515,1.98
0.575,2.06
0.485,2.3
0.425,1.94
0.45,1.7
0.465,1.8
0.525,1.86
0.485,2.1
0.5,1.94
0.51,2.0
0.505,2.04
0.52,2.02
0.53,2.08
0.53,2.12
0.485,2.12
0.5,1.94
0.45,2.0
0.495,1.8
0.53,1.98
0.57,2.12
0.505,2.28
0.43,2.02
0.53,1.72
0.38,2.12
0.485,1.52
0.54,1.94
0.49,2.16
0.57,1.96
0.47,2.28
0.48,1.88
0.505,1.92
0.525,2.02
0.46,2.1
0.555,1.84
0.51,2.22
0.575,2.04
0.49,2.3
0.475,1.96
0.515,1.9
0.445,2.06
0.51,1.78
0.485,2.04
0.48,1.94
0.475,1.92
0.56,1.9
0.47,2.24
0.47,1.88
0.49,1.88
0.465,1.96
0.545,1.86
0.525,2.18
0.48,2.1
0.495,1.92
0.46,1.98
0.485,1.84
0.51,1.94
0.495,2.04
0.49,1.98
0.45,1.96
0.51,1.8
0.45,2.04
0.54,1.8
0.505,2.16
0.58,2.02
0.48,2.32
0.5,1.92
0.48,2.0
0.515,1.92
0.475,2.06
0.55,1.9
0.52,2.2
0.46,2.08
0.51,1.84
0.47,2.04
0.505,1.88
0.445,2.02
0.45,1.78
0.535,1.8
0.565,2.14
0.54,2.26
0.51,2.16
0.515,2.04
0.465,2.06
0.475,1.86
0.48,1.9
0.45,1.92
0.47,1.8
0.575,1.88
0.505,2.3
0.5,2.02
0.465,2.0
0.5,1.86
0.49,2.0
0.48,1.96
0.52,1.92
0.51,2.08
0.555,2.04
0.515,2.22
0.475,2.06
0.455,1.9
0.495,1.82
0.45,1.98
0.49,1.8
0.52,1.96
0.445,2.08
0.445,1.78
0.53,1.78
0.5,2.12
0.465,2.0
0.46,1.86
0.515,1.84
0.535,2.06
0.485,2.14
0.43,1.94
0.565,1.72
0.58,2.26
0.5,2.32
0.475,2.0
0.515,1.9
0.505,2.06
0.475,2.02
0.54,1.9
0.485,2.16
0.45,1.94
0.49,1.8
0.53,1.96
0.46,2.12
0.485,1.84
0.525,1.94
0.5,2.1
0.525,2.0
0.47,2.1
0.47,1.88
0.45,1.88
0.45,1.8
0.465,1.8
0.505,1.86
0.55,2.02
0.51,2.2
0.545,2.04
0.445,2.18
0.43,1.78
0.425,1.72
0.495,1.7
0.51,1.98
0.485,2.04
0.525,1.94
0.495,2.1
0.47,1.98
0.435,1.88
0.505,1.74
0.435,2.02
0.52,1.74
0.505,2.08
0.485,2.02
0.52,1.94
0.485,2.08
0.495,1.94
0.465,1.98
0.465,1.86
0.525,1.86
0.53,2.1
0.565,2.12
0.53,2.26
0.57,2.12
0.425,2.28
0.495,1.7
0.52,1.98
0.51,2.08
0.5,2.04
0.41,2.0
0.51,1.64
0.5,2.04
0.45,2.0
0.52,1.8
0.505,2.08
0.54,2.02
0.48,2.16
0.545,1.92
0.48,2.18
0.55,1.92
