Cooperate Rate,Average Reward
0.49,1.96
0.44,1.96
0.555,1.76
0.54,2.22
0.555,2.16
0.46,2.22
0.505,1.84
0.53,2.02
0.515,2.12
0.47,2.06
0.505,1.88
0.48,2.02
0.47,1.92
0.55,1.88
0.525,2.2
0.42,2.1
0.49,1.68
0.515,1.96
0.495,2.06
0.51,1.98
0.51,2.04
0.455,2.04
0.48,1.82
0.485,1.92
0.48,1.94
0.485,1.92
0.505,1.94
0.505,2.02
0.555,2.02
0.55,2.22
0.5,2.2
0.485,2.0
0.575,1.94
0.495,2.3
0.555,1.98
0.55,2.22
0.585,2.2
0.52,2.34
0.505,2.08
0.545,2.02
0.475,2.18
0.41,1.9
0.53,1.64
0.525,2.12
0.51,2.1
0.51,2.04
0.55,2.04
0.57,2.2
0.515,2.28
0.53,2.06
0.505,2.12
0.48,2.02
0.525,1.92
0.53,2.1
0.525,2.12
0.56,2.1
0.455,2.24
0.5,1.82
0.54,2.0
0.58,2.16
0.49,2.32
0.56,1.96
0.575,2.24
0.485,2.3
0.54,1.94
0.555,2.16
0.57,2.22
0.505,2.28
0.565,2.02
0.475,2.26
0.505,1.9
0.485,2.02
0.575,1.94
0.49,2.3
0.5,1.96
0.555,2.0
0.495,2.22
0.485,1.98
0.515,1.94
0.56,2.06
0.51,2.24
0.615,2.04
0.545,2.46
0.505,2.18
0.525,2.02
0.55,2.1
0.585,2.2
0.535,2.34
0.46,2.14
0.55,1.84
0.59,2.2
0.465,2.36
0.43,1.86
0.49,1.72
0.605,1.96
0.465,2.42
0.545,1.86
0.52,2.18
0.5,2.08
0.55,2.0
0.525,2.2
0.545,2.1
0.565,2.18
0.455,2.26
0.525,1.82
0.55,2.1
0.535,2.2
0.515,2.14
0.56,2.06
0.575,2.24
0.55,2.3
0.51,2.2
0.565,2.04
0.55,2.26
0.465,2.2
0.505,1.86
0.52,2.02
0.53,2.08
0.575,2.12
0.55,2.3
0.45,2.2
0.465,1.8
0.555,1.86
0.555,2.22
0.57,2.22
0.525,2.28
0.48,2.1
0.575,1.92
0.56,2.3
0.535,2.24
0.545,2.14
0.51,2.18
0.575,2.04
0.51,2.3
0.575,2.04
0.515,2.3
0.545,2.06
0.53,2.18
0.495,2.12
0.54,1.98
0.54,2.16
0.585,2.16
0.51,2.34
0.59,2.04
0.49,2.36
0.57,1.96
0.57,2.28
0.535,2.28
0.595,2.14
0.495,2.38
0.555,1.98
0.53,2.22
0.505,2.12
0.49,2.02
0.54,1.96
0.54,2.16
0.54,2.16
0.495,2.16
0.555,1.98
0.485,2.22
0.51,1.94
0.515,2.04
0.48,2.06
0.57,1.92
0.5,2.28
0.635,2.0
0.48,2.54
0.49,1.92
0.53,1.96
0.545,2.12
0.57,2.18
0.45,2.28
0.49,1.8
0.57,1.96
0.43,2.28
0.515,1.72
0.51,2.06
0.525,2.04
0.53,2.1
0.54,2.12
0.49,2.16
0.49,1.96
0.535,1.96
0.555,2.14
0.55,2.22
0.48,2.2
0.54,1.92
0.49,2.16
0.515,1.96
0.51,2.06
0.47,2.04
0.54,1.88
0.45,2.16
0.5,1.8
0.6,2.0
0.53,2.4
0.505,2.12
0.495,2.02
0.585,1.98
0.49,2.34
0.49,1.96
0.455,1.96
0.515,1.82
0.52,2.06
0.525,2.08
0.57,2.1
0.475,2.28
0.58,1.9
0.48,2.32
0.54,1.92
0.445,2.16
0.545,1.78
0.485,2.18
0.5,1.94
0.53,2.0
0.505,2.12
0.54,2.02
0.49,2.16
0.545,1.96
0.46,2.18
0.49,1.84
0.515,1.96
0.45,2.06
0.585,1.8
0.555,2.34
0.54,2.22
0.455,2.16
0.61,1.82
0.505,2.44
0.505,2.02
0.54,2.02
0.455,2.16
0.615,1.82
0.5,2.46
0.57,2.0
0.455,2.28
0.59,1.82
0.59,2.36
0.52,2.36
0.545,2.08
0.47,2.18
0.53,1.88
0.505,2.12
0.525,2.02
0.505,2.1
0.465,2.02
0.59,1.86
0.58,2.36
0.59,2.32
0.525,2.36
0.505,2.1
0.525,2.02
0.485,2.1
0.495,1.94
0.565,1.98
0.575,2.26
0.5,2.3
0.545,2.0
0.535,2.18
0.56,2.14
0.575,2.24
0.53,2.3
0.5,2.12
0.555,2.0
0.485,2.22
0.565,1.94
0.545,2.26
0.505,2.18
0.485,2.02
0.56,1.94
0.57,2.24
0.415,2.28
0.46,1.66
0.56,1.84
0.525,2.24
0.55,2.1
0.505,2.2
0.515,2.02
0.515,2.06
0.47,2.06
0.59,1.88
0.55,2.36
0.395,2.2
0.51,1.58
0.46,2.04
0.515,1.84
0.46,2.06
0.49,1.84
0.475,1.96
0.57,1.9
0.49,2.28
0.495,1.96
0.57,1.98
0.43,2.28
0.515,1.72
0.48,2.06
0.48,1.92
0.44,1.92
0.435,1.76
0.515,1.74
0.47,2.06
0.52,1.88
0.54,2.08
0.42,2.16
0.43,1.68
0.625,1.72
0.54,2.5
0.47,2.16
0.575,1.88
0.475,2.3
0.555,1.9
0.515,2.22
0.505,2.06
0.5,2.02
0.53,2.0
0.49,2.12
0.455,1.96
0.58,1.82
0.525,2.32
0.455,2.1
0.57,1.82
0.425,2.28
0.565,1.7
0.56,2.26
0.51,2.24
0.515,2.04
0.5,2.06
0.505,2.0
0.54,2.02
0.47,2.16
0.63,1.88
0.535,2.52
0.565,2.14
0.51,2.26
0.5,2.04
0.565,2.0
0.44,2.26
0.565,1.76
0.495,2.26
0.485,1.98
0.495,1.94
0.505,1.98
0.515,2.02
0.425,2.06
0.46,1.7
0.58,1.84
0.535,2.32
