Cooperate Rate,Average Reward
0.475,1.9
0.505,1.9
0.525,2.02
0.535,2.1
0.525,2.14
0.485,2.1
0.56,1.94
0.525,2.24
0.485,2.1
0.49,1.94
0.515,1.96
0.42,2.06
0.5,1.68
0.515,2.0
0.49,2.06
0.45,1.96
0.555,1.8
0.51,2.22
0.52,2.04
0.51,2.08
0.515,2.04
0.535,2.06
0.5,2.14
0.475,2.0
0.525,1.9
0.485,2.1
0.555,1.94
0.5,2.22
0.545,2.0
0.53,2.18
0.49,2.12
0.51,1.96
0.525,2.04
0.495,2.1
0.43,1.98
0.55,1.72
0.48,2.2
0.495,1.92
0.515,1.98
0.495,2.06
0.585,1.98
0.455,2.34
0.46,1.82
0.48,1.84
0.495,1.92
0.495,1.98
0.51,1.98
0.53,2.04
0.48,2.12
0.44,1.92
0.52,1.76
0.475,2.08
0.525,1.9
0.5,2.1
0.55,2.0
0.48,2.2
0.52,1.92
0.505,2.08
0.525,2.02
0.505,2.1
0.485,2.02
0.43,1.94
0.5,1.72
0.505,2.0
0.535,2.02
0.56,2.14
0.475,2.24
0.385,1.9
0.495,1.54
0.49,1.98
0.515,1.96
0.46,2.06
0.48,1.84
0.53,1.92
0.505,2.12
0.515,2.02
0.52,2.06
0.53,2.08
0.4,2.12
0.5,1.6
0.525,2.0
0.45,2.1
0.415,1.8
0.475,1.66
0.51,1.9
0.545,2.04
0.515,2.18
0.52,2.06
0.495,2.08
0.455,1.98
0.53,1.82
0.505,2.12
0.49,2.02
0.59,1.96
0.47,2.36
0.525,1.88
0.495,2.1
0.465,1.98
0.47,1.86
0.525,1.88
0.57,2.1
0.49,2.28
0.425,1.96
0.45,1.7
0.485,1.8
0.555,1.94
0.465,2.22
0.51,1.86
0.54,2.04
0.54,2.16
0.55,2.16
0.49,2.2
0.525,1.96
0.485,2.1
0.49,1.94
0.47,1.96
0.555,1.88
0.495,2.22
0.465,1.98
0.49,1.86
0.435,1.96
0.515,1.74
0.5,2.06
0.475,2.0
0.47,1.9
0.495,1.88
0.52,1.98
0.48,2.08
0.475,1.92
0.45,1.9
0.54,1.8
0.51,2.16
0.455,2.04
0.54,1.82
0.525,2.16
0.445,2.1
0.475,1.78
0.55,1.9
0.53,2.2
0.555,2.12
0.535,2.22
0.545,2.14
0.455,2.18
0.545,1.82
0.505,2.18
0.505,2.02
0.545,2.02
0.46,2.18
0.5,1.84
0.455,2.0
0.51,1.82
0.515,2.04
0.535,2.06
0.465,2.14
0.435,1.86
0.58,1.74
0.445,2.32
0.545,1.78
0.535,2.18
0.51,2.14
0.51,2.04
0.51,2.04
0.47,2.04
0.53,1.88
0.545,2.12
0.525,2.18
0.605,2.1
0.395,2.42
0.485,1.58
0.475,1.94
0.485,1.9
0.485,1.94
0.505,1.94
0.47,2.02
0.51,1.88
0.54,2.04
0.465,2.16
0.47,1.86
0.495,1.88
0.495,1.98
0.47,1.98
0.485,1.88
0.475,1.94
0.49,1.9
0.485,1.96
0.485,1.94
0.515,1.94
0.5,2.06
0.57,2.0
0.57,2.28
0.49,2.28
0.45,1.96
0.515,1.8
0.48,2.06
0.52,1.92
0.505,2.08
0.505,2.02
0.46,2.02
0.485,1.84
0.505,1.94
0.525,2.02
0.445,2.1
0.475,1.78
0.485,1.9
0.505,1.94
0.51,2.02
0.465,2.04
0.5,1.86
0.555,2.0
0.47,2.22
0.425,1.88
0.48,1.7
0.525,1.92
0.515,2.1
0.485,2.06
0.555,1.94
0.51,2.22
0.46,2.04
0.46,1.84
0.51,1.84
0.56,2.04
0.5,2.24
0.495,2.0
0.505,1.98
0.5,2.02
0.515,2.0
0.505,2.06
0.425,2.02
0.45,1.7
0.52,1.8
0.485,2.08
0.47,1.94
0.545,1.88
0.495,2.18
0.5,1.98
0.51,2.0
0.5,2.04
0.475,2.0
