Cooperate Rate,Average Reward
0.51,2.04
0.51,2.04
0.48,2.04
0.43,1.92
0.445,1.72
0.505,1.78
0.52,2.02
0.525,2.08
0.495,2.1
0.465,1.98
0.49,1.86
0.48,1.96
0.51,1.92
0.535,2.04
0.51,2.14
0.44,2.04
0.565,1.76
0.52,2.26
0.54,2.08
0.475,2.16
0.565,1.9
0.495,2.26
0.505,1.98
0.535,2.02
0.55,2.14
0.445,2.2
0.515,1.78
0.545,2.06
0.555,2.18
0.515,2.22
0.475,2.06
0.455,1.9
0.485,1.82
0.44,1.94
0.505,1.76
0.485,2.02
0.505,1.94
0.505,2.02
0.535,2.02
0.515,2.14
0.495,2.06
0.525,1.98
0.505,2.1
0.6,2.02
0.49,2.4
0.55,1.96
0.535,2.2
0.445,2.14
0.49,1.78
0.465,1.96
0.49,1.86
0.505,1.96
0.51,2.02
0.5,2.04
0.56,2.0
0.515,2.24
0.505,2.06
0.485,2.02
0.51,1.94
0.52,2.04
0.55,2.08
0.48,2.2
0.52,1.92
0.565,2.08
0.475,2.26
0.435,1.9
0.535,1.74
0.455,2.14
0.46,1.82
0.52,1.84
0.515,2.08
0.535,2.06
0.57,2.14
0.53,2.28
0.545,2.12
0.495,2.18
0.535,1.98
0.51,2.14
0.545,2.04
0.505,2.18
0.465,2.02
0.46,1.86
0.485,1.84
0.51,1.94
0.505,2.04
0.555,2.02
0.47,2.22
0.48,1.88
0.495,1.92
0.465,1.98
0.47,1.86
0.53,1.88
0.48,2.12
0.455,1.92
0.52,1.82
0.525,2.08
0.555,2.1
0.495,2.22
0.56,1.98
0.5,2.24
0.54,2.0
0.56,2.16
0.485,2.24
0.52,1.94
0.465,2.08
0.545,1.86
0.485,2.18
0.53,1.94
0.535,2.12
0.575,2.14
0.52,2.3
0.555,2.08
0.445,2.22
0.455,1.78
0.555,1.82
0.525,2.22
0.435,2.1
0.47,1.74
0.51,1.88
0.485,2.04
0.49,1.94
0.445,1.96
0.45,1.78
0.54,1.8
0.49,2.16
0.51,1.96
0.53,2.04
0.475,2.12
0.59,1.9
0.54,2.36
0.495,2.16
0.485,1.98
0.495,1.94
0.485,1.98
0.48,1.94
0.485,1.92
0.46,1.94
0.475,1.84
0.505,1.9
0.5,2.02
0.515,2.0
0.485,2.06
0.46,1.94
0.485,1.84
0.49,1.94
0.525,1.96
0.495,2.1
0.43,1.98
0.435,1.72
0.565,1.74
0.455,2.26
0.485,1.82
0.56,1.94
0.535,2.24
0.505,2.14
0.44,2.02
0.53,1.76
0.545,2.12
0.49,2.18
0.525,1.96
0.475,2.1
0.5,1.9
0.555,2.0
0.475,2.22
0.54,1.9
0.48,2.16
0.49,1.92
0.5,1.96
0.49,2.0
0.51,1.96
0.5,2.04
0.49,2.0
0.53,1.96
0.505,2.12
0.51,2.02
0.425,2.04
0.515,1.7
0.49,2.06
0.5,1.96
0.425,2.0
0.425,1.7
0.535,1.7
0.555,2.14
0.535,2.22
0.435,2.14
0.47,1.74
0.54,1.88
0.455,2.16
0.525,1.82
0.515,2.1
0.535,2.06
0.515,2.14
0.52,2.06
0.495,2.08
0.49,1.98
0.485,1.96
0.535,1.94
0.515,2.14
0.495,2.06
0.505,1.98
0.52,2.02
0.53,2.08
0.455,2.12
0.595,1.82
0.52,2.38
0.48,2.08
0.55,1.92
0.53,2.2
0.53,2.12
0.475,2.12
0.5,1.9
0.49,2.0
0.58,1.96
0.54,2.32
0.565,2.16
0.44,2.26
0.5,1.76
0.505,2.0
0.515,2.02
0.465,2.06
0.475,1.86
0.47,1.9
0.43,1.88
0.51,1.72
0.515,2.04
0.505,2.06
0.52,2.02
0.51,2.08
0.495,2.04
0.51,1.98
0.5,2.04
0.49,2.0
0.54,1.96
0.505,2.16
0.485,2.02
0.485,1.94
0.54,1.94
0.53,2.16
0.525,2.12
0.51,2.1
0.505,2.04
0.555,2.02
0.51,2.22
0.48,2.04
0.49,1.92
0.51,1.96
0.56,2.04
0.5,2.24
0.53,2.0
0.555,2.12
0.51,2.22
0.53,2.04
0.505,2.12
0.5,2.02
0.545,2.0
0.59,2.18
0.51,2.36
0.44,2.04
0.505,1.76
0.47,2.02
0.5,1.88
0.545,2.0
0.54,2.18
0.535,2.16
0.5,2.14
0.52,2.0
0.485,2.08
0.47,1.94
0.47,1.88
0.465,1.88
0.525,1.86
0.475,2.1
0.52,1.9
0.475,2.08
0.49,1.9
0.425,1.96
0.49,1.7
0.48,1.96
0.525,1.92
0.455,2.1
0.425,1.82
0.54,1.7
0.495,2.16
0.46,1.98
0.51,1.84
0.505,2.04
0.515,2.02
0.465,2.06
0.5,1.86
0.5,2.0
0.555,2.0
0.575,2.22
0.51,2.3
0.515,2.04
0.535,2.06
0.52,2.14
0.475,2.08
0.51,1.9
0.49,2.04
0.47,1.96
0.45,1.88
0.485,1.8
0.495,1.94
0.495,1.98
0.495,1.98
0.545,1.98
0.505,2.18
0.49,2.02
0.53,1.96
0.485,2.12
0.45,1.94
0.515,1.8
0.485,2.06
0.51,1.94
0.485,2.04
0.515,1.94
0.55,2.06
0.49,2.2
0.475,1.96
0.485,1.9
0.525,1.94
0.48,2.1
0.47,1.92
0.555,1.88
0.48,2.22
0.535,1.92
0.525,2.14
0.515,2.1
0.52,2.06
0.57,2.08
0.535,2.28
0.52,2.14
0.46,2.08
0.5,1.84
0.505,2.0
0.465,2.02
0.525,1.86
0.47,2.1
0.455,1.88
0.535,1.82
0.505,2.14
0.505,2.02
0.525,2.02
0.5,2.1
0.46,2.0
0.485,1.84
0.475,1.94
0.555,1.9
0.49,2.22
0.525,1.96
0.51,2.1
0.525,2.04
0.515,2.1
0.535,2.06
0.455,2.14
0.52,1.82
0.5,2.08
0.51,2.0
0.51,2.04
0.52,2.04
0.56,2.08
0.505,2.24
0.44,2.02
0.55,1.76
0.435,2.2
0.52,1.74
0.56,2.08
0.47,2.24
0.515,1.88
0.515,2.06
0.425,2.06
0.515,1.7
0.525,2.06
0.48,2.1
0.475,1.92
0.435,1.9
0.475,1.74
0.505,1.9
0.48,2.02
0.535,1.92
0.555,2.14
0.425,2.22
0.495,1.7
0.465,1.98
0.505,1.86
0.42,2.02
0.485,1.68
0.495,1.94
0.555,1.98
0.49,2.22
0.515,1.96
0.49,2.06
0.49,1.96
0.46,1.96
0.475,1.84
0.54,1.9
0.525,2.16
0.475,2.1
0.49,1.9
0.535,1.96
0.485,2.14
0.49,1.94
0.485,1.96
0.54,1.94
0.46,2.16
0.565,1.84
0.495,2.26
0.525,1.98
0.49,2.1
0.475,1.96
0.465,1.9
0.505,1.86
0.505,2.02
0.455,2.02
0.495,1.82
0.505,1.98
0.51,2.02
0.505,2.04
0.54,2.02
0.505,2.16
0.485,2.02
0.485,1.94
0.515,1.94
0.555,2.06
0.52,2.22
0.515,2.08
0.495,2.06
0.46,1.98
0.55,1.84
0.51,2.2
0.51,2.04
0.485,2.04
0.47,1.94
0.5,1.88
0.475,2.0
0.485,1.9
0.52,1.94
0.485,2.08
0.475,1.94
0.445,1.9
0.58,1.78
0.425,2.32
0.495,1.7
0.555,1.98
0.5,2.22
0.53,2.0
0.43,2.12
0.46,1.72
0.5,1.84
0.445,2.0
0.485,1.78
0.475,1.94
0.465,1.9
0.585,1.86
0.53,2.34
0.5,2.12
0.54,2.0
0.53,2.16
0.495,2.12
0.46,1.98
0.5,1.84
0.53,2.0
0.48,2.12
0.475,1.92
0.565,1.9
0.54,2.26
0.5,2.16
0.45,2.0
0.575,1.8
0.42,2.3
0.49,1.68
0.47,1.96
0.51,1.88
0.495,2.04
0.51,1.98
0.49,2.04
0.465,1.96
0.465,1.86
0.485,1.86
0.49,1.94
0.45,1.96
0.515,1.8
0.46,2.06
0.46,1.84
0.515,1.84
0.545,2.06
0.415,2.18
0.5,1.66
0.53,2.0
0.435,2.12
0.47,1.74
0.52,1.88
0.475,2.08
0.56,1.9
0.51,2.24
0.58,2.04
0.54,2.32
0.55,2.16
0.5,2.2
0.535,2.0
