Cooperate Rate,Average Reward
0.48,1.92
0.845,1.92
0.84,3.38
0.12,3.36
0.89,0.48
0.145,3.56
0.79,0.58
0.1,3.16
0.71,0.4
0.87,2.84
0.9,3.48
0.105,3.6
0.4,0.42
0.85,1.6
0.125,3.4
0.87,0.5
0.115,3.48
0.895,0.46
0.125,3.58
0.655,0.5
0.11,2.62
0.865,0.44
0.11,3.46
0.82,0.44
0.115,3.28
0.89,0.46
0.115,3.56
0.895,0.46
0.125,3.58
0.5,0.5
0.875,2.0
0.885,3.5
0.915,3.54
0.915,3.66
0.105,3.66
0.55,0.42
0.85,2.2
0.095,3.4
0.775,0.38
0.145,3.1
0.15,0.58
0.54,0.6
0.89,2.16
0.89,3.56
0.9,3.56
0.125,3.6
0.86,0.5
0.09,3.44
0.88,0.36
0.115,3.52
0.76,0.46
0.925,3.04
0.09,3.7
0.685,0.36
0.89,2.74
0.095,3.56
0.865,0.38
0.12,3.46
0.83,0.48
0.86,3.32
0.86,3.44
0.905,3.44
0.885,3.62
0.915,3.54
0.1,3.66
0.53,0.4
0.905,2.12
0.13,3.62
0.66,0.52
0.765,2.64
0.095,3.06
0.905,0.38
0.095,3.62
0.14,0.38
0.58,0.56
0.865,2.32
0.09,3.46
0.845,0.36
0.86,3.38
0.065,3.44
0.74,0.26
0.92,2.96
0.09,3.68
0.415,0.36
0.86,1.66
0.91,3.44
0.105,3.64
0.195,0.42
0.655,0.78
0.875,2.62
0.885,3.5
0.905,3.54
0.895,3.62
0.11,3.58
0.605,0.44
0.89,2.42
0.1,3.56
0.795,0.4
0.1,3.18
0.645,0.4
0.875,2.58
0.1,3.5
0.78,0.4
0.87,3.12
0.93,3.48
0.89,3.72
0.905,3.56
0.925,3.62
0.14,3.7
0.91,0.56
0.85,3.64
0.14,3.4
0.885,0.56
0.105,3.54
0.385,0.42
0.58,1.54
0.745,2.32
0.87,2.98
0.075,3.48
0.82,0.3
0.89,3.28
0.095,3.56
0.415,0.38
0.825,1.66
0.895,3.3
0.91,3.58
0.12,3.64
0.625,0.48
0.835,2.5
0.08,3.34
0.89,0.32
0.125,3.56
0.68,0.5
0.88,2.72
0.905,3.52
0.065,3.62
0.905,0.26
0.115,3.62
0.705,0.46
0.1,2.82
0.565,0.4
0.785,2.26
0.87,3.14
0.075,3.48
0.9,0.3
0.12,3.6
0.895,0.48
0.095,3.58
0.88,0.38
0.88,3.52
0.885,3.52
0.12,3.54
0.855,0.48
0.11,3.42
0.14,0.44
0.85,0.56
0.11,3.4
0.785,0.44
0.905,3.14
0.1,3.62
0.815,0.4
0.1,3.26
0.645,0.4
0.89,2.58
0.855,3.56
0.1,3.42
0.835,0.4
0.875,3.34
0.905,3.5
0.91,3.62
0.905,3.64
0.115,3.62
0.7,0.46
0.89,2.8
0.07,3.56
0.465,0.28
0.725,1.86
0.84,2.9
0.09,3.36
0.22,0.36
0.745,0.88
0.845,2.98
0.875,3.38
0.16,3.5
0.555,0.64
0.11,2.22
0.925,0.44
0.125,3.7
0.485,0.5
0.72,1.94
0.87,2.88
0.915,3.48
0.115,3.66
0.71,0.46
0.115,2.84
0.575,0.46
0.88,2.3
0.89,3.52
0.105,3.56
0.555,0.42
0.88,2.22
0.895,3.52
0.9,3.58
0.12,3.6
0.89,0.48
0.885,3.56
0.07,3.54
0.87,0.28
0.1,3.48
0.73,0.4
0.09,2.92
0.91,0.36
0.09,3.64
0.885,0.36
0.165,3.54
0.745,0.66
0.86,2.98
0.895,3.44
0.88,3.58
0.09,3.52
0.615,0.36
0.855,2.46
0.855,3.42
0.87,3.42
0.85,3.48
0.07,3.4
0.885,0.28
0.08,3.54
0.44,0.32
0.56,1.76
0.865,2.24
0.86,3.46
0.88,3.44
0.85,3.52
0.9,3.4
0.88,3.6
0.125,3.52
0.865,0.5
0.905,3.46
0.92,3.62
0.09,3.68
0.31,0.36
0.69,1.24
0.885,2.76
0.105,3.54
0.6,0.42
0.285,2.4
0.71,1.14
0.1,2.84
0.685,0.4
0.88,2.74
0.065,3.52
0.345,0.26
0.715,1.38
0.925,2.86
0.115,3.7
0.64,0.46
0.09,2.56
0.295,0.36
0.87,1.18
0.88,3.48
0.1,3.52
0.765,0.4
0.11,3.06
0.89,0.44
0.92,3.56
0.125,3.68
0.895,0.5
0.095,3.58
0.45,0.38
0.885,1.8
0.1,3.54
0.84,0.4
0.925,3.36
0.11,3.7
0.495,0.44
0.82,1.98
0.86,3.28
0.105,3.44
0.88,0.42
0.905,3.52
0.88,3.62
0.13,3.52
0.905,0.52
0.1,3.62
0.865,0.4
0.885,3.46
0.115,3.54
0.89,0.46
0.09,3.56
0.925,0.36
0.895,3.7
0.095,3.58
0.905,0.38
0.91,3.62
0.07,3.64
0.455,0.28
0.67,1.82
0.835,2.68
0.065,3.34
0.375,0.26
0.78,1.5
