Cooperate Rate,Average Reward
0.56,2.24
0.55,2.24
0.54,2.2
0.54,2.16
0.51,2.16
0.45,2.04
0.55,1.8
0.45,2.2
0.41,1.8
0.5,1.64
0.53,2.0
0.56,2.12
0.48,2.24
0.52,1.92
0.43,2.08
0.57,1.72
0.5,2.28
0.53,2.0
0.51,2.12
0.56,2.04
0.51,2.24
0.52,2.04
0.51,2.08
0.59,2.04
0.56,2.36
0.5,2.24
0.4,2.0
0.49,1.6
0.51,1.96
0.6,2.04
0.46,2.4
0.62,1.84
0.57,2.48
0.54,2.28
0.51,2.16
0.6,2.04
0.6,2.4
0.52,2.4
0.45,2.08
0.48,1.8
0.5,1.92
0.55,2.0
0.53,2.2
0.59,2.12
0.47,2.36
0.48,1.88
0.56,1.92
0.46,2.24
0.5,1.84
0.61,2.0
0.55,2.44
0.57,2.2
0.6,2.28
0.63,2.4
0.53,2.52
0.47,2.12
0.52,1.88
0.58,2.08
0.52,2.32
0.54,2.08
0.61,2.16
0.46,2.44
0.5,1.84
0.54,2.0
0.58,2.16
0.51,2.32
0.58,2.04
0.51,2.32
0.54,2.04
0.48,2.16
0.49,1.92
0.46,1.96
0.57,1.84
0.52,2.28
0.56,2.08
0.4,2.24
0.5,1.6
0.47,2.0
0.55,1.88
0.44,2.2
0.49,1.76
0.55,1.96
0.55,2.2
0.6,2.2
0.55,2.4
0.44,2.2
0.51,1.76
0.46,2.04
0.55,1.84
0.56,2.2
0.48,2.24
0.5,1.92
0.5,2.0
0.47,2.0
0.53,1.88
0.53,2.12
0.52,2.12
0.54,2.08
0.56,2.16
0.54,2.24
0.56,2.16
0.53,2.24
0.52,2.12
0.56,2.08
0.56,2.24
0.51,2.24
0.5,2.04
0.54,2.0
0.51,2.16
0.49,2.04
0.49,1.96
0.5,1.96
0.52,2.0
0.51,2.08
0.46,2.04
0.53,1.84
0.52,2.12
0.58,2.08
0.52,2.32
0.54,2.08
0.5,2.16
0.51,2.0
0.53,2.04
0.6,2.12
0.51,2.4
0.54,2.04
0.51,2.16
0.47,2.04
0.51,1.88
0.48,2.04
0.44,1.92
0.6,1.76
0.54,2.4
0.53,2.16
0.51,2.12
0.51,2.04
0.42,2.04
0.49,1.68
0.54,1.96
0.51,2.16
0.45,2.04
0.61,1.8
0.56,2.44
0.46,2.24
0.58,1.84
0.46,2.32
0.51,1.84
0.49,2.04
0.56,1.96
0.54,2.24
0.53,2.16
0.44,2.12
0.55,1.76
0.56,2.2
0.5,2.24
0.51,2.0
0.46,2.04
0.55,1.84
0.49,2.2
0.56,1.96
0.5,2.24
0.55,2.0
0.5,2.2
0.5,2.0
0.53,2.0
0.45,2.12
0.49,1.8
0.5,1.96
0.49,2.0
0.61,1.96
0.54,2.44
0.46,2.16
0.57,1.84
0.53,2.28
0.57,2.12
0.58,2.28
0.54,2.32
0.53,2.16
0.48,2.12
0.55,1.92
0.52,2.2
0.44,2.08
0.48,1.76
0.57,1.92
0.49,2.28
0.44,1.96
0.54,1.76
0.46,2.16
0.53,1.84
0.43,2.12
0.5,1.72
0.46,2.0
0.54,1.84
0.44,2.16
0.62,1.76
0.58,2.48
0.6,2.32
0.54,2.4
0.51,2.16
0.5,2.04
0.51,2.0
0.46,2.04
0.59,1.84
0.6,2.36
0.54,2.4
0.5,2.16
0.55,2.0
0.41,2.2
0.44,1.64
0.53,1.76
0.48,2.12
0.53,1.92
0.41,2.12
0.62,1.64
0.53,2.48
0.48,2.12
0.56,1.92
0.46,2.24
0.48,1.84
0.51,1.92
0.39,2.04
0.55,1.56
0.48,2.2
0.52,1.92
0.52,2.08
0.56,2.08
0.39,2.24
0.46,1.56
0.58,1.84
0.56,2.32
0.34,2.24
0.58,1.36
0.47,2.32
0.56,1.88
0.48,2.24
0.57,1.92
0.59,2.28
0.57,2.36
0.48,2.28
0.53,1.92
0.44,2.12
0.57,1.76
0.5,2.28
0.45,2.0
0.63,1.8
0.51,2.52
0.42,2.04
0.52,1.68
0.56,2.08
0.42,2.24
0.48,1.68
0.51,1.92
0.41,2.04
0.55,1.64
0.51,2.2
0.44,2.04
0.49,1.76
0.53,1.96
0.46,2.12
0.51,1.84
0.45,2.04
0.51,1.8
0.46,2.04
0.55,1.84
0.47,2.2
0.5,1.88
0.43,2.0
0.56,1.72
0.46,2.24
0.57,1.84
0.46,2.28
0.5,1.84
0.52,2.0
0.46,2.08
0.61,1.84
0.48,2.44
0.54,1.92
0.5,2.16
0.51,2.0
0.52,2.04
0.5,2.08
0.47,2.0
0.45,1.88
0.61,1.8
0.6,2.44
0.54,2.4
0.52,2.16
0.56,2.08
0.42,2.24
0.43,1.68
0.48,1.72
0.52,1.92
0.56,2.08
0.41,2.24
0.49,1.64
0.51,1.96
0.47,2.04
0.5,1.88
0.5,2.0
0.5,2.0
0.49,2.0
0.5,1.96
0.43,2.0
0.53,1.72
0.44,2.12
0.51,1.76
0.47,2.04
0.53,1.88
0.46,2.12
0.56,1.84
0.4,2.24
0.57,1.6
0.41,2.28
0.59,1.64
0.48,2.36
0.53,1.92
0.45,2.12
0.46,1.8
0.54,1.84
0.48,2.16
0.52,1.92
0.52,2.08
0.48,2.08
0.56,1.92
0.39,2.24
0.5,1.56
0.5,2.0
0.48,2.0
0.52,1.92
0.53,2.08
0.43,2.12
0.52,1.72
0.38,2.08
0.43,1.52
0.55,1.72
0.43,2.2
0.64,1.72
0.53,2.56
0.48,2.12
0.5,1.92
0.46,2.0
0.56,1.84
0.37,2.24
0.51,1.48
0.45,2.04
0.53,1.8
0.49,2.12
0.57,1.96
0.42,2.28
0.43,1.68
0.6,1.72
0.52,2.4
0.49,2.08
0.45,1.96
0.5,1.8
0.52,2.0
0.4,2.08
0.56,1.6
0.36,2.24
0.47,1.44
0.52,1.88
0.45,2.08
0.49,1.8
0.54,1.96
0.46,2.16
0.51,1.84
0.45,2.04
0.45,1.8
0.55,1.8
0.42,2.2
0.61,1.68
0.61,2.44
0.53,2.44
0.49,2.12
0.55,1.96
0.46,2.2
0.53,1.84
0.5,2.12
0.5,2.0
0.46,2.0
0.56,1.84
0.41,2.24
0.5,1.64
0.57,2.0
0.49,2.28
0.5,1.96
0.54,2.0
0.51,2.16
0.51,2.04
0.49,2.04
0.55,1.96
0.44,2.2
0.49,1.76
0.56,1.96
0.38,2.24
0.51,1.52
0.48,2.04
0.45,1.92
0.53,1.8
0.41,2.12
0.58,1.64
0.54,2.32
0.5,2.16
0.51,2.0
0.51,2.04
0.5,2.04
0.49,2.0
0.5,1.96
0.49,2.0
0.51,1.96
0.49,2.04
0.54,1.96
0.46,2.16
0.56,1.84
0.39,2.24
0.55,1.56
0.4,2.2
0.59,1.6
0.51,2.36
0.48,2.04
0.48,1.92
0.55,1.92
0.42,2.2
0.55,1.68
0.49,2.2
0.5,1.96
0.48,2.0
0.52,1.92
0.44,2.08
0.45,1.76
0.59,1.8
0.54,2.36
0.5,2.16
0.47,2.0
0.51,1.88
0.52,2.04
0.46,2.08
0.52,1.84
0.5,2.08
0.49,2.0
0.53,1.96
0.48,2.12
0.49,1.92
0.55,1.96
0.41,2.2
0.58,1.64
0.44,2.32
0.55,1.76
0.42,2.2
0.5,1.68
0.47,2.0
0.52,1.88
0.43,2.08
0.61,1.72
0.44,2.44
0.53,1.76
0.45,2.12
0.52,1.8
0.46,2.08
0.54,1.84
0.45,2.16
0.57,1.8
0.47,2.28
0.47,1.88
0.54,1.88
0.5,2.16
0.46,2.0
0.51,1.84
0.51,2.04
0.51,2.04
0.45,2.04
0.54,1.8
0.53,2.16
0.42,2.12
0.51,1.68
0.49,2.04
0.57,1.96
0.47,2.28
0.54,1.88
0.44,2.16
0.56,1.76
0.39,2.24
0.52,1.56
0.5,2.08
0.46,2.0
0.53,1.84
0.45,2.12
0.58,1.8
0.47,2.32
0.48,1.88
0.57,1.92
0.45,2.28
0.55,1.8
0.4,2.2
0.58,1.6
0.4,2.32
0.6,1.6
0.51,2.4
0.54,2.04
0.46,2.16
