Cooperate Rate,Average Reward
0.505,2.02
0.5215,2.02
0.515,2.086
0.489,2.06
0.496,1.956
0.505,1.984
0.5035,2.02
0.503,2.014
0.4985,2.012
0.5065,1.994
0.484,2.026
0.512,1.936
0.497,2.048
0.487,1.988
0.4925,1.948
0.4985,1.97
0.512,1.994
0.4975,2.048
0.519,1.99
0.4805,2.076
0.501,1.922
0.502,2.004
0.502,2.008
0.5025,2.008
0.511,2.01
0.4875,2.044
0.526,1.95
0.5025,2.104
0.4915,2.01
0.4835,1.966
0.515,1.934
0.501,2.06
0.5175,2.004
0.5055,2.07
0.4835,2.022
0.5015,1.934
0.514,2.006
0.508,2.056
0.506,2.032
0.5015,2.024
0.513,2.006
0.5035,2.052
0.5115,2.014
0.513,2.046
0.4805,2.052
0.482,1.922
0.518,1.928
0.494,2.072
0.5015,1.976
0.524,2.006
0.4955,2.096
0.496,1.982
0.4985,1.984
0.514,1.994
0.4945,2.056
0.493,1.978
0.505,1.972
0.495,2.02
0.505,1.98
0.5345,2.02
0.5075,2.138
0.4855,2.03
0.519,1.942
0.5105,2.076
0.4995,2.042
0.51,1.998
0.519,2.04
0.532,2.076
0.4795,2.128
0.497,1.918
0.503,1.988
0.495,2.012
0.4995,1.98
0.503,1.998
0.522,2.012
0.4945,2.088
0.5,1.978
0.5015,2.0
0.53,2.006
0.4975,2.12
0.49,1.99
0.4905,1.96
0.5205,1.962
0.4915,2.082
0.514,1.966
0.5125,2.056
0.5065,2.05
0.4995,2.026
0.534,1.998
0.5005,2.136
0.501,2.002
0.5225,2.004
0.492,2.09
0.4935,1.968
0.5005,1.974
0.5,2.002
0.4945,2.0
0.5355,1.978
0.4965,2.142
0.504,1.986
0.5065,2.016
0.5465,2.026
0.479,2.186
0.4845,1.916
0.4985,1.938
0.5155,1.994
0.4915,2.062
0.546,1.966
0.4925,2.184
0.5075,1.97
0.5095,2.03
0.5085,2.038
0.5095,2.034
0.5005,2.038
0.5175,2.002
0.4875,2.07
0.497,1.95
0.534,1.988
0.5015,2.136
0.56,2.006
0.4905,2.24
0.5115,1.962
0.4945,2.046
0.536,1.978
0.5005,2.144
0.552,2.002
0.501,2.208
0.53,2.004
0.5175,2.12
0.5105,2.07
0.5015,2.042
0.5585,2.006
0.498,2.234
0.4945,1.992
0.5665,1.978
0.5215,2.266
0.502,2.086
0.5185,2.008
0.511,2.074
0.5085,2.044
0.517,2.034
0.5035,2.068
0.521,2.014
0.489,2.084
0.4965,1.956
0.498,1.986
0.489,1.992
0.5175,1.956
0.5455,2.07
0.498,2.182
0.5265,1.992
0.5115,2.106
0.551,2.046
0.518,2.204
0.5175,2.072
0.546,2.07
0.508,2.184
0.503,2.032
0.5535,2.012
0.507,2.214
0.4975,2.028
0.5145,1.99
0.4905,2.058
0.5345,1.962
0.504,2.138
0.5045,2.016
0.5055,2.018
0.4925,2.022
0.525,1.97
0.5185,2.1
0.4795,2.074
0.5045,1.918
0.5065,2.018
0.5535,2.026
0.5025,2.214
0.525,2.01
0.4955,2.1
0.4945,1.982
0.5275,1.978
0.507,2.11
0.4925,2.028
0.544,1.97
0.5145,2.176
0.4955,2.058
0.537,1.982
0.503,2.148
0.558,2.012
0.509,2.232
0.4875,2.036
0.542,1.95
0.4965,2.168
0.544,1.986
0.519,2.176
0.5565,2.076
0.5,2.226
0.5395,2.0
0.501,2.158
0.553,2.004
0.4845,2.212
0.506,1.938
0.507,2.024
0.533,2.028
0.508,2.132
0.5295,2.032
0.508,2.118
0.537,2.032
0.492,2.148
0.4805,1.968
0.523,1.922
0.5265,2.092
0.509,2.106
0.4995,2.036
0.5405,1.998
0.502,2.162
0.528,2.008
0.486,2.112
0.495,1.944
0.5405,1.98
0.4965,2.162
0.548,1.986
0.513,2.192
0.5395,2.052
0.497,2.158
0.537,1.988
0.555,2.148
0.4835,2.22
0.524,1.934
0.4925,2.096
0.569,1.97
0.517,2.276
0.5135,2.068
0.4725,2.054
0.518,1.89
0.508,2.072
0.564,2.032
0.506,2.256
0.5305,2.024
0.4895,2.122
0.5175,1.958
0.528,2.07
0.495,2.112
0.53,1.98
0.521,2.12
0.502,2.084
0.552,2.008
0.4935,2.208
0.4995,1.974
0.5625,1.998
0.507,2.25
0.5535,2.028
0.5305,2.214
0.4855,2.122
0.487,1.942
0.507,1.948
0.551,2.028
0.503,2.204
0.5425,2.012
0.4795,2.17
0.547,1.918
0.4895,2.188
0.495,1.958
0.549,1.98
0.507,2.196
0.543,2.028
0.513,2.172
0.537,2.052
0.5435,2.148
0.4945,2.174
0.524,1.978
0.5205,2.096
0.489,2.082
0.557,1.956
0.493,2.228
0.4775,1.972
0.494,1.91
0.5045,1.976
0.5135,2.018
0.5055,2.054
0.5435,2.022
0.523,2.174
0.5045,2.092
0.5495,2.018
0.501,2.198
0.5315,2.004
0.5095,2.126
0.536,2.038
0.4945,2.144
0.52,1.978
0.492,2.08
0.535,1.968
0.504,2.14
0.531,2.016
0.491,2.124
0.503,1.964
0.544,2.012
0.5035,2.176
0.5375,2.014
0.492,2.15
0.5515,1.968
0.5025,2.206
0.563,2.01
0.496,2.252
0.56,1.984
0.493,2.24
0.5495,1.972
0.508,2.198
0.5335,2.032
0.5085,2.134
0.544,2.034
0.5405,2.176
0.512,2.162
0.539,2.048
0.491,2.156
0.5085,1.964
0.5515,2.034
0.5105,2.206
0.5235,2.042
0.499,2.094
0.5085,1.996
0.57,2.034
0.492,2.28
0.5625,1.968
0.504,2.25
0.543,2.016
0.505,2.172
0.5395,2.02
0.535,2.158
0.4965,2.14
0.557,1.986
0.5055,2.228
0.5495,2.022
0.524,2.198
0.5525,2.096
0.4885,2.21
0.502,1.954
0.529,2.008
0.4925,2.116
0.554,1.97
0.48,2.216
0.489,1.92
0.5615,1.956
0.499,2.246
0.504,1.996
0.544,2.016
0.529,2.176
0.4955,2.116
0.5475,1.982
0.4795,2.19
0.563,1.918
0.532,2.252
0.4935,2.128
0.529,1.974
0.517,2.116
0.529,2.068
0.5455,2.116
0.506,2.182
0.5505,2.024
0.516,2.202
0.49,2.064
0.514,1.96
0.549,2.056
0.498,2.196
0.5375,1.992
0.504,2.15
0.559,2.016
0.488,2.236
0.5225,1.952
0.4845,2.09
0.533,1.938
0.4765,2.132
0.5105,1.906
0.5515,2.042
0.533,2.206
0.5555,2.132
0.499,2.222
0.5335,1.996
0.507,2.134
0.5455,2.028
0.547,2.182
0.506,2.188
0.554,2.024
0.5045,2.216
0.5455,2.018
0.5375,2.182
0.5325,2.15
0.5075,2.13
0.527,2.03
0.4815,2.108
0.5055,1.926
0.544,2.022
0.5265,2.176
0.525,2.106
0.5425,2.1
0.506,2.17
0.5325,2.024
0.5055,2.13
0.5405,2.022
0.541,2.162
0.5095,2.164
0.552,2.038
0.5455,2.208
0.5445,2.182
0.504,2.178
0.5605,2.016
0.497,2.242
0.533,1.988
0.526,2.132
0.4935,2.104
0.5575,1.974
0.508,2.23
0.5405,2.032
0.5515,2.162
0.5465,2.206
0.526,2.186
0.5265,2.104
0.527,2.106
0.5005,2.108
0.5645,2.002
0.513,2.258
0.544,2.052
0.529,2.176
0.536,2.116
0.526,2.144
0.5575,2.104
0.4995,2.23
0.525,1.998
0.527,2.1
0.524,2.108
0.559,2.096
0.5125,2.236
0.4735,2.05
0.501,1.894
0.534,2.004
0.5125,2.136
0.515,2.05
0.525,2.06
0.543,2.1
0.539,2.172
0.508,2.156
0.5435,2.032
0.5285,2.174
0.4885,2.114
0.503,1.954
0.5385,2.012
0.505,2.154
0.5575,2.02
0.528,2.23
0.5175,2.112
0.5385,2.07
0.49,2.154
0.521,1.96
0.5425,2.084
0.543,2.17
0.53,2.172
0.5345,2.12
0.5355,2.138
0.5065,2.142
0.5365,2.026
0.499,2.146
0.534,1.996
0.545,2.136
0.5005,2.18
0.543,2.002
0.5465,2.172
0.526,2.186
0.5635,2.104
0.502,2.254
0.5285,2.008
0.5065,2.114
0.5535,2.026
0.54,2.214
0.497,2.16
0.541,1.988
0.4925,2.164
0.5345,1.97
0.576,2.138
0.4805,2.304
0.5535,1.922
0.5345,2.214
0.5495,2.138
0.537,2.198
0.5335,2.148
0.5285,2.134
0.5175,2.114
0.5155,2.07
0.507,2.062
0.537,2.028
0.5345,2.148
0.539,2.138
0.5085,2.156
0.552,2.034
0.542,2.208
0.5045,2.168
0.5255,2.018
0.522,2.102
0.4975,2.088
0.542,1.99
0.538,2.168
0.512,2.152
0.5615,2.048
