Cooperate Rate,Average Reward
0.488,1.952
0.5075,1.952
0.4855,2.03
0.5305,1.942
0.487,2.122
0.491,1.948
0.48,1.964
0.494,1.92
0.505,1.976
0.501,2.02
0.496,2.004
0.485,1.984
0.507,1.94
0.5065,2.028
0.4885,2.026
0.506,1.954
0.4985,2.024
0.528,1.994
0.501,2.112
0.474,2.004
0.5035,1.896
0.4845,2.014
0.497,1.938
0.5,1.988
0.4765,2.0
0.5015,1.906
0.496,2.006
0.4905,1.984
0.49,1.962
0.509,1.96
0.5135,2.036
0.502,2.054
0.5065,2.008
0.4935,2.026
0.4905,1.974
0.492,1.962
0.5175,1.968
0.513,2.07
0.5115,2.052
0.514,2.046
0.514,2.056
0.4995,2.056
0.4925,1.998
0.4955,1.97
0.4975,1.982
0.4925,1.99
0.4975,1.97
0.4995,1.99
0.497,1.998
0.4955,1.988
